movieInfo,title,star,quote
"
导演:姜文WenJiang   主演:姜文WenJiang/香川照之TeruyukiKagawa/...
2000 / 中国大陆 / 剧情战争


",鬼子来了 / Devils on the Doorstep,9.1,对敌人的仁慈，就是对自己残忍。
"
导演:李安AngLee   主演:苏拉·沙玛SurajSharma/拉菲·斯波RafeSpa...
2012 / 美国台湾英国加拿大 / 剧情奇幻冒险


",少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi,9.0,瑰丽壮观、无人能及的冒险之旅。
"
导演:弗洛里安·亨克尔·冯·多纳斯马FlorianHenckelvonDonnersmarck   ...
2006 / 德国 / 剧情悬疑


",窃听风暴 / Das Leben der Anderen / 他人的生活  /  别人的生活,9.1,别样人生。
"
导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...
2008 / 美国英国 / 剧情动作科幻犯罪惊悚


",蝙蝠侠：黑暗骑士 / The Dark Knight / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),9.0,无尽的黑暗。
"
导演:黄东赫Dong-hyukHwang   主演:孔侑YooGong/郑有美Yu-miJeong...
2011 / 韩国 / 剧情


",熔炉 / 도가니 / 无声呐喊(港)  /  漩涡,9.1,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
"
导演:詹姆斯·麦克特格JamesMcTeigue   主演:娜塔丽·波曼NataliePortm...
2005 / 美国英国德国 / 剧情动作科幻惊悚


",V字仇杀队 / V for Vendetta / V煞(港)  /  V怪客(台),8.8,一张面具背后的理想与革命。
"
导演:张艺谋YimouZhang   主演:葛优YouGe/巩俐LiGong/姜武WuJiang
1994 / 中国大陆香港 / 剧情家庭


",活着 / 人生  /  Lifetimes,9.0,张艺谋最好的电影。
"
导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino/克里斯...
1992 / 美国 / 剧情


",闻香识女人 / Scent of a Woman / 女人香  /  女人的芳香,8.9,史上最美的探戈。
"
导演:Jean-PierreJeunet   主演:奥黛丽·塔图AudreyTautou/马修·卡索...
2001 / 法国德国 / 喜剧爱情


",天使爱美丽 / Le fabuleux destin d'Amélie Poulain / 艾蜜莉的异想世界(台)  /  天使艾米莉,8.7,法式小清新。 
"
导演:朗·霍华德RonHoward   主演:罗素·克劳RussellCrowe/詹妮弗·...
2001 / 美国 / 传记剧情


",美丽心灵 / A Beautiful Mind / 有你终生美丽(港)  /  美丽境界(台),8.9,爱是一切逻辑和原由。
"
导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...
2001 / 新西兰美国 / 剧情动作奇幻冒险


",指环王1：魔戒再现 / The Lord of the Rings: The Fellowship of the Ring / 魔戒首部曲：魔戒现身  /  指环王I：护戒使者,8.9,传说的开始。
"
导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...
2002 / 美国新西兰 / 剧情动作奇幻冒险


",指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers / 魔戒二部曲：双城奇谋  /  指环王II：双塔,8.9,承前启后的史诗篇章。
"
导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...
1974 / 美国 / 剧情犯罪


",教父2 / The Godfather: Part Ⅱ / 教父续集  /  教父II,9.1,优雅的孤独。
"
导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaishô/木村拓...
2004 / 日本 / 爱情动画奇幻冒险


",哈尔的移动城堡 / ハウルの動く城 / 呼啸山城  /  霍尔的移动城堡,8.8,带着心爱的人在天空飞翔。
"
导演:大卫·芬奇DavidFincher   主演:摩根·弗里曼MorganFreeman/布...
1995 / 美国 / 剧情犯罪悬疑惊悚


",七宗罪 / Se7en / 火线追缉令  /  7宗罪,8.7,警察抓小偷，老鼠玩死猫。
"
导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama/酒井美纪Mik...
1995 / 日本 / 剧情爱情


",情书 / Love Letter / When I Close My Eyes  /  Letters of Love,8.8,暗恋的极致。
